Supplementary Table 9. Peptide to Gene Mapping,,,
Uniprot_id,Gene_id,NCBI_gene_symbol,Previous_NCBI_gene_symbol
Q9NR45,54187,NANS,
Q8TDD1,79039,DDX54,
Q86WB0,51530,ZC3HC1,
Q01813,5214,PFKP,
P62328,7114,TMSB4X,
Q8IXQ4,55425,KIAA1704,
P06493,983,CDC2,
Q6PL18,29028,ATAD2,
Q9Y520,23215,PRRC2,BAT2D1
Q8WXE1,84126,ATRIP,
P15408,2355,FOSL2,
Q53F19,55421,C17orf85,
Q9UHB6,51474,LIMA1,
Q9Y2U5,10746,MAP3K2,
P49327,2194,FASN,
Q9UK76,51155,HN1,
Q96TA1,64855,FAM129B,
P51812,6197,RPS6KA3,
Q96PK6,10432,RBM14,
Q96I25,84991,RBM17,
P30050,6136,RPL12,
P38919,9775,EIF4A3,
Q96RR5,22974,TPX2,
Q96QC0,5514,PPP1R10,
Q96T23,51773,RSF1,
Q9Y4B6,9730,DCAF1,VPRBP
Q9H7D7,80232,WDR26,
Q9NX40,54940,OCIAD1,
Q5HYJ3,143684,FAM76B,
P15056,673,BRAF,
Q13627,1859,DYRK1A,
Q9UFC0,222229,LRWD1,
O60885,23476,BRD4,
Q6PJT7,79882,ZC3H14,
O95239,24137,KIF4A,
O43318,6885,MAP3K7,
O75385,8408,ULK1,
Q13177,5062,PAK2,
P42167,7112,TMPO,
P48634,7916,BAT2,
Q7Z6E9,5930,RBBP6,
E7EUY8,91833,WDR20,
Q9Y2W1,9967,THRAP3,
P35658,8021,NUP214,
Q9UKJ3,23131,GPATCH8,
Q9C0C9,63893,UBE2O,
E7EVA0,4134,MAP4,
Q92615,23185,LARP5,
Q9Y618,9612,NCOR2,
Q8NCN4,254225,RNF169,
Q9UQ35,23524,SRRM2,
Q7Z417,57532,NUFIP2,
Q15418,6195,RPS6KA1,
Q6ICG6,23313,C22orf9,
Q9BTA9,51322,WAC,
Q8N7R7,151195,CCNYL1,
O15530,5170,PDPK1,
O15234,22794,CASC3,
Q8NDX6,283337,ZNF740,
Q92785,5977,DPF2,
Q9NYB0,54386,TERF2IP,
Q96JM3,283489,CHAMP1,C13orf8
P17535,3727,JUND,
Q9UMZ2,11276,SYNRG,AP1GBP1
Q96B97,30011,SH3KBP1,
