"","X1","X2","X3"
"H3K4me0.",0.0185272571503038,0.257986526658994,0.0254552969783852
"H3K4me1.",0.0636065958431533,0.303539859465944,0.0412655861653137
"H3K4me2.",0.0163782714957423,0.256770686866054,0.0253326593791967
"H3K4ac1.",0.0305790460688143,0.319345766231565,0.026083162716927
"H3K9me0K14ac0.",0.0275385584352007,0.167765761481753,0.009983367238927
"H3K9me1K14ac0.",0.0346547933611172,0.251709652859428,0.0206542152516209
"H3K9me2K14ac0.",0.0339774843028528,0.26563148647632,0.0320086908730292
"H3K9me3K14ac0.",0.0260690779477026,0.295580519802909,0.0509842097518471
"H3K9ac1K14ac0.",0.136094423770996,0.291432189837363,1.26030057956573e-06
"H3K9me0K14ac1.",0.0533990230351826,0.327544175126603,0.019387075236393
"H3K9me1K14ac1.",0.0171254159543225,0.358375886817879,0.024809364525289
"H3K9me2K14ac1.",0.0442747204107322,0.388291159257758,0.0472420790724996
"H3K9me3K14ac1.",0.0170693030363742,0.37860695658137,0.0321805289694377
"H3K9ac1K14ac1.",0.0361918916031083,0.394336466550201,0.0414066984399696
"H3K9me0S10ph1K14ac0.",0.141275232705723,0.341571841641794,2.22044604925031e-16
"H3K9me1S10ph1K14ac0.",0.130949149950033,0.185137101689222,3.60990845356693e-10
"H3K9me2S10ph1K14ac0.",0.143319328309621,0.253442225848756,0.00609283924275079
"H3K9me3S10ph1K14ac0.",0.141388390712152,0.37592774627861,3.86657666979426e-12
"H3K9me0S10ph1K14ac1.",0.0872734739435587,0.446895119943733,2.22044604925031e-16
"H3K9me1S10ph1K14ac1.",0.0227361093446509,0.865315860224233,2.22044604925031e-16
"H3K9me2S10ph1K14ac1.",0.133943938341888,0.29090602308569,3.88894213141848e-07
"H3K9me3S10ph1K14ac1.",0.133177547923631,0.419787756625427,0.0145166552300691
"H3K18ac0K23ac0.",0.121215929201218,0.288729197754282,0.0260955261642335
"H3K18ac1K23ac0.",0.14296917060859,0.313347848371201,0.0399906414091848
"H3K18ac0K23ac1.",0.0739610900909922,0.308620530724532,0.0396268220916352
"H3K18ac1K23ac1.",0.0883624443612791,0.383460850745831,0.0527653312541299
"H3K18ub1K23ac0.",0.20538362972207,0.369159617925691,2.22044604925031e-16
"H3K27me0K36me0.",0.0481497655834138,0.0606315127510992,2.22044604925031e-16
"H3K27me1K36me0.",0.0643725523753542,0.172240137552332,0.00748570577689181
"H3K27me1K36me1.",0.0695573130293739,0.198917489379968,0.00989553099075103
"H3K27me1K36me2.",0.0679265615508752,0.285274850949495,0.0271547506079935
"H3K27me1K36me3.",0.0558376582205549,0.307692358869701,0.041244921945883
"H3K27me2K36me0.",0.0486374278237392,0.260720160245885,0.0146320618240837
"H3K27me2K36me1.",0.0525442180018791,0.312890034260332,0.0268229991815443
"H3K27me2K36me2.",0.0856434961827906,0.31564055163115,0.0509679529727964
"H3K27me3K36me0.",0.0199371834178219,0.278933055862603,0.0385856759714854
"H3K27me3K36me1.",0.0225416716956653,0.311053694468144,0.0305753071928136
"H3K27me3K36me2.",0.039226655442229,0.322157593893168,0.0342636863720023
"H3K27ac1K36me0.",0.162188539133336,0.337212622211487,0.0199517319217689
"H3K27ac1K36me1.",0.0705378601197785,0.269415205617042,2.22044604925031e-16
"H3K27ac1K36me2.",0.0865820657858019,0.241015449612128,0.0348863019101196
"H3K27ac1K36me3.",0.0507323834047892,0.275394149152819,0.0355457088109524
"H3.3K27me0K36me0.",0.00218215302582395,0.0909669069875588,0.003704739544757
"H3NORM.41.49.",0.0326230847469684,0.261676905981381,0.0215730204859117
"H3K56me0.",1.43449971063808,0.151583379587476,2.22044604925031e-16
"H3K56me2.",0.0567996207494097,0.00970123553247998,1.93121319530901
"H3K79me0.",1.47758103694975,0.173604688950335,2.22044604925031e-16
"H3K79me1.",2.56721992478331,2.22044604925031e-16,5.59155276264629e-15
"H3K79me2.",0.34377433684814,0.289972272002805,0.0190669567552579
"H3K27me0K36me1.",0.0987798896148277,0.120214371299417,0.00837482482615208
"H3K27me0K36me2.",0.0875377435990009,0.221881027450684,0.0226686304862707
"H3K27me0K36me3.",0.0698463281696698,0.2451270788762,0.0265207018917301
